Date;Total;Deaths;Recovered;New Deaths;New Cases;Total Actual Positive
24/2/2020;2;0;2;0;1;0
25/2/2020;6;0;2;0;4;4
26/02/20;13;0;2;0;7;11
27/02/20;15;0;2;0;2;13
28/02/20;32;0;2;0;17;30
29/02/20;45;0;2;0;13;43
01/03/20;84;0;2;0;39;82
02/03/20;120;0;2;0;36;118
03/03/20;165;1;2;1;45;162
04/03/20;222;2;2;1;57;218
05/03/20;259;3;2;1;37;254
06/03/20;400;5;2;2;141;393
07/03/20;500;10;30;5;100;460
08/03/20;673;17;30;7;173;626
09/03/20;1073;28;32;11;400;1013
10/03/20;1695;35;32;7;622;1628
11/03/20;2277;54;183;19;582;2040
12/03/20;2277;55;183;1;0;2039
13/03/20;5232;133;193;78;2955;4906
14/03/20;6391;195;517;62;1159;5679
15/03/20;7798;289;517;94;1407;6992
16/03/20;9942;342;530;53;2144;9070
17/03/20;11748;533;1028;191;1806;10187
18/03/20;13910;623;1081;90;2162;12206
19/03/20;17963;830;1107;207;4053;16026
20/03/20;21510;1092;1588;262;3547;18830
21/03/20;25374;1378;2125;286;3864;21871
22/03/20;28768;1772;2575;394;3394;24421
23/03/20;35136;2311;3355;539;6368;29470
24/3/2020;42058;2994;3794;683;6922;35270
25/3/2020;49515;3647;5367;653;7457;40501
26/3/2020;57786;4365;7015;718;8271;46406
27/3/2020;65719;5138;9357;773;7933;51224
28/3/2020;73235;5982;12285;844;7516;54968
29/3/2020;80110;6803;14709;821;6875;58598
30/3/2020;87956;7716;16780;913;7846;63460
31/3/2020;95923;8464;19259;748;7967;68200
1/4/2020;104118;9387;22647;923;8195;72084
2/4/2020;112065;10348;26743;961;7947;74974
3/4/2020;119199;11198;30513;850;7134;77488
4/4/2020;126168;11947;34219;749;6969;80002
5/4/2020;131646;12641;38080;694;5478;80925
6/4/2020;136675;13341;40437;700;5029;82897
7/4/2020;141942;14045;43208;704;5267;84689
8/4/2020;148220;14792;48021;747;6278;85407
9/4/2020;153222;15447;52165;655;5002;85610
10/4/2020;158273;16081;55668;634;5051;86524
11/4/2020;163027;16606;59109;525;4754;87312
12/4/2020;166831;17209;62391;603;3804;87231
13/4/2020;170099;17756;64727;547;3268;87616
14/4/2020;172541;18056;67504;300;2442;86981
15/4/2020;177644;18708;70853;652;5103;88083
16/4/2020;184948;19315;74797;607;7304;90836
17/4/2020;190839;20002;74797;687;5891;96040
18/4/2020;191726;20043;74797;41;887;96886
19/4/2020;198674;20453;77357;410;6948;100864
20/4/2020;200210;20852;80587;399;1536;98771
21/4/2020;204178;21282;82514;430;3968;100382
22/4/2020;208389;21717;85915;435;4211;100757
23/4/2020;213024;22157;89250;440;4635;101617
24/4/2020;219764;22524;92355;367;6740;104885
25/4/2020;223759;22902;95708;378;3995;105149
26/4/2020;226629;23190;117727;288;2870;85712
27/4/2020;229422;23521;120832;331;2793;85069
28/4/2020;232128;23822;123903;301;2706;84403
29/4/2020;236899;24275;132929;453;4771;79695
30/4/2020;239639;24543;137984;268;2740;77112
1/5/2020;242988;24824;142450;281;3349;75714
2/5/2020;245567;25100;146233;276;2579;74234
3/5/2020;247122;25264;148558;164;1555;73300
4/5/2020;248301;25428;151633;164;1179;71240
5/5/2020;250561;25613;154718;185;2260;70230
6/5/2020;253682;25857;159359;244;3121;68466
7/5/2020;256855;26070;163919;213;3173;66866
8/5/2020;260117;26299;168408;229;3262;65410
9/5/2020;262783;26478;173157;179;2666;63148
10/5/2020;264663;26621;176439;143;1880;61603
11/5/2020;268143;26744;177846;123;3480;63553
12/5/2020;269520;26920;180470;176;1377;62130
13/5/2020;271095;27104;183227;184;1575;60764
14/5/2020;272646;27321;186480;217;1551;58845
15/5/2020;274367;27459;188967;138;1721;57941
16/5/2020;276505;27563;192253;104;2138;56689
17/5/2020;277719;27650;195945;87;1214;54124
18/5/2020;278188;27709;196958;59;469;53521
19/5/2020;278803;27778;196958;69;615;54067
20/5/2020;279524;27888;196958;110;721;54678
21/5/2020;280117;27940;196958;52;593;55219
22/5/2020;281904;28628;196958;688;1787;56318
23/5/2020;282370;28678;196958;50;466;56734
24/5/2020;282852;28752;196958;74;482;57142
25/5/2020;282480;26837;196958;-1915;-372;58685
26/5/2020;283339;27117;196958;280;859;59264
27/5/2020;283849;27118;196958;1;510;59773
28/5/2020;284986;27119;196958;1;1137;60909
29/5/2020;285644;27121;196958;2;658;61565
30/5/2020;286308;27125;196958;4;664;62225
31/5/2020;286509;27127;196958;2;201;62424
1/6/2020;286718;27127;196958;0;209;62633
2/6/2020;287012;27127;196958;0;294;62927
3/6/2020;287406;27128;196958;1;394;63320
4/6/2020;287740;27133;196958;5;334;63649
5/6/2020;288058;27134;196958;1;318;63966
6/6/2020;288390;27135;196958;1;332;64297
7/6/2020;288630;27136;196958;1;240;64536
8/6/2020;288797;27136;196958;0;167;64703
9/6/2020;289046;27136;196958;0;249;64952
10/6/2020;289360;27136;196958;0;314;65266
11/6/2020;289787;27136;196958;0;427;65693
12/6/2020;290289;27136;196958;0;502;66195
13/6/2020;290685;27136;196958;0;396;66591
14/6/2020;291008;27136;196958;0;323;66914
15/6/2020;291189;27136;196958;0;181;67095
16/6/2020;291408;27136;196958;0;219;67314
17/6/2020;291763;27136;196958;0;355;67669
18/6/2020;292348;27136;196958;0;585;68254
19/6/2020;292655;28315;196958;1179;307;67382
20/6/2020;293018;28322;196958;7;363;67738
21/6/2020;293352;28323;196958;1;334;68071
22/6/2020;293584;28324;196958;1;232;68302
23/6/2020;293832;28325;196958;1;248;68549
24/6/2020;294166;28327;196958;2;334;68881
25/6/2020;294566;28330;196958;3;400;69278
26/6/2020;294566;28330;196958;0;0;69278
27/6/2020;295549;28341;196958;11;983;70250
28/6/2020;295850;28343;196958;2;301;70549
29/6/2020;296050;28346;196958;3;200;70746
30/6/2020;296351;28355;196958;9;301;71038
1/7/2020;296739;28363;196958;8;388;71418
2/7/2020;297183;28368;196958;5;444;71857
3/7/2020;297625;28385;196958;17;442;72282
4/7/2020;297625;28385;196958;0;0;72282
5/7/2020;298455;28385;196958;0;830;73112
6/7/2020;298869;28388;196958;3;414;73523
7/7/2020;299210;28392;196958;4;341;73860
8/7/2020;299593;28396;196958;4;383;74239
9/7/2020;300136;28401;196958;5;543;74777
10/7/2020;300988;28403;196958;2;852;75627
11/7/2020;300988;28403;196958;0;0;75627
12/7/2020;300988;28403;196958;0;0;75627
13/7/2020;303033;28406;196958;3;2045;77669
14/7/2020;303699;28409;196958;3;666;78332
15/7/2020;304574;28413;196958;4;875;79203
16/7/2020;305935;28416;196958;3;1361;80561
17/7/2020;307335;28420;196958;4;1400;81957
18/7/2020;307335;28420;196958;0;0;81957
19/7/2020;310389;28420;196958;0;3054;85011
20/7/2020;311916;28422;196958;2;1527;86536
21/7/2020;313274;28424;196958;2;1358;87892
22/7/2020;314631;28426;196958;2;1357;89247
23/7/2020;317246;28429;196958;3;2615;91859
24/7/2020;319501;28432;196958;3;2255;94111
25/7/2020;319501;28432;196958;0;0;94111
26/7/2020;323742;28432;196958;0;4241;98352
27/7/2020;325862;28432;196958;0;2120;100472
28/7/2020;327690;28436;196958;4;1828;102296
29/7/2020;329721;28441;196958;5;2031;104322
30/7/2020;332510;28443;196958;2;2789;107109
31/7/2020;335602;28445;196958;2;3092;110199
1/8/2020;335602;28445;196958;0;0;110199
2/8/2020;341090;28463;196958;18;5488;115669
3/8/2020;344134;28472;196958;9;3044;118704
4/8/2020;349894;28498;196958;26;5760;124438
5/8/2020;352847;28499;196958;1;2953;127390
6/8/2020;354530;28500;196958;1;1683;129072
7/8/2020;361442;28503;196958;3;6912;135981
8/8/2020;361442;28503;196958;0;0;135981
9/8/2020;367187;28503;196958;0;5745;141726
10/8/2020;370060;28576;196958;73;2873;144526
11/8/2020;373692;28581;196958;5;3632;148153
12/8/2020;376864;28581;196958;0;3172;151325
13/8/2020;380914;28605;196958;24;4050;155351
14/8/2020;386741;28617;196958;12;5827;161166
15/8/2020;393189;28617;196958;0;6448;167614
16/8/2020;398085;28617;196958;0;4896;172510
17/8/2020;402191;28646;196958;29;4106;176587
18/8/2020;407938;28670;196958;24;5747;182310
19/8/2020;415137;28797;196958;127;7199;189382
20/8/2020;422398;28813;196958;16;7261;196627
21/8/2020;429193;28838;196958;25;6795;203397
22/8/2020;436758;28838;196958;0;7565;210962
23/8/2020;439922;28860;196958;22;3164;214104
24/8/2020;442002;28872;196958;12;2080;216172
25/8/2020;444417;28924;196958;52;2415;218535
26/8/2020;448011;28971;196958;47;3594;222082
27/8/2020;451792;28996;196958;25;3781;225838
28/8/2020;455621;29011;196958;15;3829;229652
29/8/2020;455621;29011;196958;0;0;229652
30/8/2020;460369;29066;196958;55;4748;234345
31/8/2020;462858;29094;196958;28;2489;236806
1/9/2020;470973;29152;196958;58;8115;244863
2/9/2020;479554;29194;196958;42;8581;253402
3/9/2020;512630;29234;196958;40;33076;286438
4/9/2020;517133;29418;196958;184;4503;290757
5/9/2020;517133;29418;196958;0;0;290757
6/9/2020;523109;29484;196958;66;5976;296667
7/9/2020;525549;29516;196958;32;2440;299075
8/9/2020;534513;29594;196958;78;8964;307961
9/9/2020;543379;29628;196958;34;8866;316793
10/9/2020;554143;29699;196958;71;10764;327486
11/9/2020;576697;29747;;48;22554;546950
12/9/2020;576697;29747;;0;0;546950
13/9/2020;590707;29815;;68;14010;560892
14/9/2020;593730;29848;;33;3023;563882
15/9/2020;603167;30004;;156;9437;573163
16/9/2020;614360;30243;;239;11193;584117
17/9/2020;625651;30405;;162;11291;595246
18/9/2020;659334;30495;;90;33683;628839
19/9/2020;659334;30495;;0;0;628839
20/9/2020;668511;30607;;112;9177;637904
21/9/2020;671468;30663;;56;2957;640805
22/9/2020;682267;30904;;241;10799;651363
23/9/2020;693556;31034;;130;11289;662522
24/9/2020;705209;31118;;84;11653;674091
25/9/2020;735198;31232;;114;29989;703966
26/9/2020;735198;31232;;0;0;703966
27/9/2020;745841;31352;;120;10643;714489
28/9/2020;748266;31411;;59;2425;716855
29/9/2020;758172;31614;;203;9906;726558
30/9/2020;769188;31791;;177;11016;737397
1/10/2020;778607;31973;;182;9419;746634
2/10/2020;810807;32086;;113;32200;778721
3/10/2020;810807;32086;;0;0;778721
4/10/2020;850739;32179;;93;39932;818560
5/10/2020;852838;32225;;46;2099;820613
6/10/2020;865631;32486;;261;12793;833145
7/10/2020;872276;32562;;76;6645;839714
8/10/2020;884381;32688;;126;12105;851693
9/10/2020;890367;32929;;241;5986;857438
10/10/2020;890367;32929;;0;0;857438
11/10/2020;908937;33059;;130;18570;875878
12/10/2020;918223;33124;;65;9286;885099
13/10/2020;925341;33204;;80;7118;892137
14/10/2020;937311;33413;;209;11970;903898
15/10/2020;972958;33553;;140;35647;939405
16/10/2020;982723;33775;;222;9765;948948
17/10/2020;982723;33775;;0;0;948948
18/10/2020;1003581;33919;;144;20858;969662
19/10/2020;1015795;33992;;73;12214;981803
20/10/2020;1029668;34210;;218;13873;995458
