Data;Ricoverati Con Sintomi;Terapia Intensiva;Totale Ospedalizzati;Isolamento Domiciliare;Totale Attualmente Positivi;Variazione Totale Attualmente Positivi;Dimessi Guariti;Deceduti;Totale Casi;Tamponi
24/02/20;0;0;0;0;0;0;0;0;0;1
25/02/20;0;0;0;0;0;0;0;0;0;2
26/02/20;0;0;0;0;0;0;0;0;0;3
27/02/20;0;0;0;0;0;0;0;0;0;14
28/02/20;0;0;0;1;1;1;0;0;1;21
29/02/20;0;0;0;1;1;0;0;0;1;27
01/03/20;0;0;0;1;1;0;0;0;1;35
02/03/20;0;0;0;1;1;0;0;0;1;39
03/03/20;0;0;0;1;1;0;0;0;1;39
04/03/20;0;0;0;1;1;0;0;0;1;46
05/03/20;1;0;1;1;2;1;0;0;2;53
06/03/20;2;0;2;2;4;2;0;0;4;99
07/03/20;2;0;2;2;4;0;0;0;4;113
08/03/20;5;0;5;4;9;5;0;0;9;113
09/03/20;8;0;8;1;9;0;2;0;11;173
10/03/20;8;2;10;1;11;2;2;0;13;360
11/03/20;10;2;12;5;17;6;2;0;19;405
12/03/20;14;2;16;16;32;15;1;0;33;483
13/03/20;18;3;21;16;37;5;1;0;38;504
14/03/20;22;4;26;33;59;22;1;0;60;711
15/03/20;32;6;38;28;66;7;1;1;68;884
16/03/20;36;7;43;44;87;21;1;1;89;1030
17/03/20;45;10;55;57;112;25;1;1;114;1293
18/03/20;45;11;56;70;126;14;2;1;129;1668
19/03/20;60;13;73;91;164;38;2;3;169;2342
20/03/20;71;16;87;114;201;37;2;4;207;2690
21/03/20;73;16;89;136;225;24;5;5;235;3050
22/03/20;77;17;94;166;260;35;5;8;273;3666
23/03/20;82;20;102;178;280;20;5;7;292;4073
24/03/20;88;21;109;195;304;24;5;10;319;4486
25/03/20;93;23;116;217;333;29;7;11;351;5058
26/03/20;101;23;124;248;372;39;7;14;393;5933
27/03/20;103;22;125;344;469;97;7;18;494;6901
28/03/20;107;22;129;394;523;54;11;21;555;7760
29/03/20;124;19;143;434;577;54;12;25;614;8485
30/03/20;130;18;148;454;602;25;14;31;647;9013
31/03/20;132;17;149;457;606;4;17;36;659;9327
01/04/20;144;16;160;450;610;4;21;38;669;9983
02/04/20;163;19;182;445;627;17;23;41;691;10679
03/04/20;183;17;200;462;662;35;26;45;733;11608
4/4/2020;178;15;193;469;662;0;30;49;741;12314
5/4/2020;174;13;187;519;706;44;33;56;795;13077
6/4/2020;170;14;184;538;722;16;37;58;817;13633
7/4/2020;169;14;183;550;733;11;40;60;833;14072
8/4/2020;170;15;185;570;755;22;44;60;859;14977
9/4/2020;168;15;183;582;765;10;48;61;874;15698
10/4/2020;168;14;182;604;786;21;50;65;901;16637
11/4/2020;169;15;184;608;792;6;57;66;915;17493
12/4/2020;165;14;179;616;795;3;62;66;923;18211
13/4/2020;160;12;172;619;791;-4;70;67;928;18596
14/4/2020;161;12;173;643;816;25;72;68;956;19014
15/4/2020;156;11;167;652;819;3;81;71;971;19662
16/4/2020;157;9;166;681;847;28;90;72;1009;20642
17/4/2020;154;7;161;658;819;-28;99;73;991;21657
18/4/2020;152;7;159;673;832;13;106;73;1011;22794
19/4/2020;142;6;148;696;844;12;116;75;1035;23760
20/4/2020;140;7;147;681;828;-16;135;75;1038;24373
21/4/2020;133;7;140;679;819;-9;152;76;1047;25440
22/4/2020;128;7;135;686;821;2;163;76;1060;26560
23/4/2020;129;7;136;687;823;2;170;76;1069;27869
24/4/2020;123;7;130;691;821;-2;178;80;1079;28764
25/4/2020;125;7;132;679;811;-10;197;80;1088;29959
26/4/2020;118;8;126;671;797;-14;212;80;1089;30853
27/4/2020;114;6;120;662;782;-15;231;83;1096;31787
28/4/2020;113;6;119;645;764;-18;248;85;1097;33755
29/4/2020;107;6;113;640;753;-11;263;86;1102;34914
30/4/2020;105;6;111;629;740;-13;282;86;1108;35903
1/5/2020;105;3;108;619;727;-13;299;86;1112;37054
2/5/2020;100;4;104;609;713;-14;311;88;1112;37928
3/5/2020;95;4;99;603;702;-11;324;88;1114;38835
4/5/2020;93;4;97;577;674;-28;356;88;1118;39438
5/5/2020;92;4;96;554;650;-24;381;88;1119;40509
6/5/2020;87;3;90;554;644;-6;389;89;1122;41828
7/5/2020;81;2;83;550;633;-11;403;89;1125;42854
8/5/2020;73;2;75;544;619;-14;417;90;1126;43980
9/5/2020;68;2;70;542;612;-7;427;90;1129;45071
10/5/2020;66;2;68;528;596;-16;445;91;1132;46111
11/5/2020;64;1;65;503;568;-28;473;93;1134;47265
12/5/2020;65;1;66;502;568;0;477;93;1138;48420
13/5/2020;64;1;65;486;551;-17;496;93;1140;49787
14/5/2020;59;2;61;463;524;-27;524;95;1143;51050
15/5/2020;56;2;58;447;505;-19;544;95;1144;52701
16/5/2020;56;2;58;416;474;-31;582;95;1151;54091
17/5/2020;56;2;58;364;422;-52;634;95;1151;55304
18/5/2020;53;2;55;346;401;-21;655;95;1151;56167
19/5/2020;50;2;52;330;382;-19;676;95;1153;57310
20/5/2020;49;1;50;303;353;-29;707;96;1156;58468
21/5/2020;47;1;48;278;326;-27;734;96;1156;59724
22/5/2020;47;1;48;254;302;-24;759;96;1157;60847
23/5/2020;43;1;44;244;288;-14;773;96;1157;61892
24/5/2020;43;1;44;231;275;-13;786;96;1157;62952
25/5/2020;42;1;43;221;264;-11;797;96;1157;63508
26/5/2020;41;1;42;196;238;-26;823;96;1157;64514
27/5/2020;35;1;36;154;190;-48;872;96;1158;65631
28/5/2020;31;1;32;138;170;-20;892;96;1158;66956
29/5/2020;25;1;26;133;159;-11;902;97;1158;68131
30/5/2020;23;1;24;127;151;-8;910;97;1158;69334
31/5/2020;22;1;23;121;144;-7;917;97;1158;70274
1/6/2020;20;1;21;114;135;-9;926;97;1158;70892
2/6/2020;20;1;21;91;112;-23;949;97;1158;71617
3/6/2020;20;0;20;90;110;-2;951;97;1158;72237
4/6/2020;19;0;19;83;102;-8;959;97;1158;73072
5/6/2020;18;0;18;79;97;-5;965;97;1159;74186
6/6/2020;18;0;18;73;91;-6;971;97;1159;75290
7/6/2020;18;0;18;73;91;0;971;97;1159;76142
8/6/2020;18;0;18;59;77;-14;985;97;1159;76501
9/6/2020;18;0;18;50;68;-9;994;97;1159;77216
10/6/2020;18;0;18;36;54;-14;1008;97;1159;78174
11/6/2020;16;1;17;35;52;-2;1012;97;1161;79025
12/6/2020;16;1;17;30;47;-5;1017;97;1161;80063
13/6/2020;15;1;16;29;45;-2;1020;97;1162;81255
14/6/2020;15;1;16;28;44;-1;1021;97;1162;81981
15/6/2020;17;1;18;19;37;-7;1028;97;1162;82392
16/6/2020;18;0;18;18;36;-1;1029;97;1162;83281
17/6/2020;18;0;18;15;33;-3;1032;97;1162;84265
18/6/2020;18;0;18;17;35;2;1033;97;1165;85222
19/6/2020;18;0;18;16;34;-1;1034;97;1165;86273
20/6/2020;18;0;18;12;30;-4;1040;97;1167;87292
21/6/2020;17;0;17;19;36;6;1040;97;1173;87935
22/6/2020;15;0;15;18;33;-3;1044;97;1174;88372
23/6/2020;9;0;9;19;28;-5;1050;97;1175;89226
24/6/2020;9;0;9;19;28;0;1050;97;1175;90262
25/6/2020;10;0;10;18;28;0;1050;97;1175;91283
26/6/2020;9;0;9;21;30;2;1051;97;1178;92448
27/6/2020;9;0;9;22;31;1;1051;97;1179;93372
28/6/2020;4;0;4;22;26;-5;1057;97;1180;93852
29/6/2020;4;0;4;22;26;0;1057;97;1180;94170
30/6/2020;4;0;4;23;27;1;1057;97;1181;95094
1/7/2020;4;0;4;22;26;-1;1058;97;1181;95926
2/7/2020;4;0;4;21;25;-1;1059;97;1181;96914
3/7/2020;4;0;4;21;25;0;1060;97;1182;97852
4/7/2020;3;0;3;23;26;1;1060;97;1183;98936
5/7/2020;3;0;3;23;26;0;1060;97;1183;99467
6/7/2020;4;0;4;22;26;0;1060;97;1183;99705
7/7/2020;4;0;4;23;27;1;1060;97;1184;100737
8/7/2020;4;0;4;24;28;1;1060;97;1185;101642
9/7/2020;4;0;4;24;28;0;1060;97;1185;102585
10/7/2020;4;0;4;23;27;-1;1062;97;1186;103582
11/7/2020;4;0;4;25;29;2;1062;97;1188;104475
12/7/2020;4;0;4;53;57;28;1062;97;1216;105034
13/7/2020;4;0;4;53;57;0;1062;97;1216;105315
14/7/2020;5;0;5;52;57;0;1062;97;1216;106176
15/7/2020;5;0;5;54;59;2;1062;97;1218;106955
16/7/2020;5;0;5;60;65;6;1064;97;1226;107852
17/7/2020;6;0;6;63;69;4;1065;97;1231;108711
18/7/2020;5;0;5;70;75;6;1066;97;1238;109655
19/7/2020;4;0;4;68;72;-3;1070;97;1239;110485
20/7/2020;3;0;3;68;71;-1;1071;97;1239;110657
21/7/2020;3;0;3;68;71;0;1071;97;1239;111600
22/7/2020;3;0;3;72;75;4;1071;97;1243;112649
23/7/2020;3;0;3;74;77;2;1071;97;1245;113791
24/7/2020;3;0;3;75;78;1;1071;97;1246;114770
25/7/2020;3;0;3;76;79;1;1071;97;1247;115719
26/7/2020;3;0;3;76;79;0;1071;97;1247;116590
27/7/2020;3;0;3;75;78;-1;1072;97;1247;116790
28/7/2020;3;0;3;80;83;5;1072;97;1252;117706
29/7/2020;3;0;3;83;86;3;1072;97;1255;118592
30/7/2020;3;1;4;89;93;7;1072;97;1262;119710
31/7/2020;3;1;4;93;97;4;1072;97;1266;120668
1/8/2020;4;1;5;92;97;0;1075;97;1269;121803
2/8/2020;5;1;6;92;98;1;1075;97;1270;122362
3/8/2020;5;1;6;92;98;0;1075;97;1270;122601
4/8/2020;6;1;7;92;99;1;1076;97;1272;123468
5/8/2020;6;1;7;94;101;2;1076;97;1274;124526
6/8/2020;7;1;8;83;91;-10;1088;97;1276;125393
7/8/2020;7;1;8;89;97;6;1089;97;1283;126434
8/8/2020;9;1;10;91;101;4;1089;97;1287;127309
9/8/2020;9;1;10;90;100;-1;1090;97;1287;127863
10/8/2020;8;1;9;92;101;1;1091;97;1289;128190
11/8/2020;8;1;9;103;112;11;1091;97;1300;129136
12/8/2020;8;1;9;101;110;-2;1097;97;1304;130228
13/8/2020;8;1;9;110;119;9;1100;97;1316;131392
14/8/2020;7;1;8;125;133;14;1105;97;1335;132577
15/8/2020;8;1;9;134;143;10;1105;97;1345;134064
16/8/2020;9;1;10;136;146;3;1105;97;1348;135740
17/8/2020;8;1;9;140;149;3;1106;97;1352;136604
18/8/2020;10;1;11;143;154;5;1106;97;1357;138078
19/8/2020;10;1;11;139;150;-4;1120;97;1367;139594
20/8/2020;11;1;12;139;151;1;1129;97;1377;141046
21/8/2020;11;1;12;141;153;2;1129;97;1379;142386
22/8/2020;11;1;12;146;158;5;1135;97;1390;143728
23/8/2020;11;1;12;154;166;8;1135;97;1398;144912
24/8/2020;13;1;14;153;167;1;1136;97;1400;146186
25/8/2020;14;1;15;155;170;3;1141;97;1408;147644
26/8/2020;14;0;14;159;173;3;1146;97;1416;148868
27/8/2020;14;0;14;165;179;6;1146;97;1422;150472
28/8/2020;14;0;14;175;189;10;1146;97;1432;152010
29/8/2020;17;0;17;181;198;9;1148;97;1443;153540
30/8/2020;17;0;17;215;232;34;1148;97;1477;159919
31/8/2020;21;0;21;224;245;13;1149;97;1491;155845
1/9/2020;22;0;22;244;266;21;1150;97;1513;157402
2/9/2020;21;0;21;269;290;24;1158;97;1545;159174
3/9/2020;20;1;21;273;294;4;1167;97;1558;160804
4/9/2020;19;1;20;293;313;19;1167;97;1577;162488
5/9/2020;20;0;20;305;325;12;1173;98;1596;164442
6/9/2020;25;0;25;324;349;24;1176;98;1623;165950
7/9/2020;29;1;30;325;355;6;1187;98;1640;166570
8/9/2020;29;1;30;326;356;1;1194;98;1648;167738
9/9/2020;27;2;29;333;362;6;1207;98;1667;169216
10/9/2020;28;3;31;339;370;8;1207;98;1675;170611
11/9/2020;28;3;31;339;370;0;1215;98;1683;172180
12/9/2020;28;3;31;357;388;18;1215;98;1701;173710
13/9/2020;29;3;32;363;395;7;1222;98;1715;175025
14/9/2020;29;2;31;344;375;-20;1245;98;1718;175699
15/9/2020;31;2;33;341;374;-1;1250;98;1722;176884
16/9/2020;28;2;30;359;389;15;1254;98;1741;178553
17/9/2020;26;4;30;375;405;16;1254;98;1757;180398
18/9/2020;24;4;28;393;421;16;1266;98;1785;182175
19/9/2020;27;4;31;414;445;24;1267;98;1810;184055
20/9/2020;30;4;34;427;461;16;1273;98;1832;185687
21/9/2020;30;4;34;434;468;7;1278;98;1844;186607
22/9/2020;29;4;33;457;490;22;1280;98;1868;188138
23/9/2020;27;4;31;474;505;15;1284;98;1887;190031
24/9/2020;29;4;33;467;500;-5;1298;98;1896;191873
25/9/2020;32;3;35;473;508;8;1300;98;1906;193781
26/9/2020;30;2;32;481;513;5;1308;100;1921;195545
27/9/2020;35;2;37;507;544;31;1308;100;1952;197415
28/9/2020;36;2;38;508;546;2;1311;100;1957;198390
29/9/2020;34;2;36;508;544;-2;1323;100;1967;199777
30/9/2020;33;2;35;520;555;11;1330;100;1985;201674
1/10/2020;32;2;34;503;537;-18;1365;100;2002;203646
2/10/2020;34;1;35;503;538;1;1382;100;2020;205388
3/10/2020;36;2;38;520;558;20;1386;100;2044;207290
4/10/2020;36;2;38;537;575;17;1387;101;2063;209086
5/10/2020;37;2;39;544;583;8;1402;101;2086;210446
6/10/2020;38;1;39;546;585;2;1422;102;2109;212328
7/10/2020;37;1;38;553;591;6;1432;102;2125;214329
8/10/2020;39;1;40;563;603;12;1441;102;2146;216234
9/10/2020;42;1;43;595;638;35;1447;103;2188;218391
10/10/2020;41;1;42;654;696;58;1457;103;2256;220936
11/10/2020;41;1;42;688;730;34;1458;103;2291;222632
12/10/2020;42;1;43;730;773;43;1467;104;2344;223860
13/10/2020;42;1;43;755;798;25;1486;104;2388;226243
14/10/2020;44;1;45;801;846;48;1498;104;2448;228678
15/10/2020;51;3;54;805;859;13;1524;104;2487;230635
16/10/2020;51;4;55;849;904;45;1581;104;2589;233393
17/10/2020;58;5;63;931;994;90;1585;104;2683;236388
18/10/2020;61;5;66;1006;1072;78;1585;104;2761;238747
19/10/2020;66;5;71;1099;1170;98;1595;104;2869;240223
