Date;Total Cases;Deaths;Recovered;New Deaths;New Cases;Total Actual Positive
24/2/2020;12;1;4;1;1;7
25/2/2020;14;1;11;0;2;2
26/02/20;18;2;11;1;4;5
27/02/20;38;2;11;0;20;25
28/02/20;57;2;11;0;19;44
29/02/20;100;2;12;0;43;86
01/03/20;130;2;12;0;30;116
02/03/20;191;3;12;1;61;176
03/03/20;204;4;12;1;13;188
04/03/20;285;4;12;0;81;269
05/03/20;377;6;12;2;92;359
06/03/20;653;9;12;3;276;632
07/03/20;949;11;12;2;296;926
08/03/20;1126;19;12;8;177;1095
09/03/20;1412;19;12;0;286;1381
10/03/20;1781;33;12;14;369;1736
11/03/20;2281;48;12;15;500;2221
12/03/20;2876;61;12;13;595;2803
13/03/20;3661;79;12;18;785;3570
14/03/20;4499;91;12;12;838;4396
15/03/20;5421;127;12;36;922;5282
16/03/20;6633;148;12;21;1212;6473
17/03/20;7730;175;12;27;1097;7543
18/03/20;9134;244;12;69;1404;8878
19/03/20;10995;372;602;128;1861;10021
20/03/20;12612;450;1295;78;1617;10867
21/03/20;14459;562;1587;112;1847;12310
22/03/20;16018;674;2200;112;1559;13144
23/03/20;19856;860;2200;186;3838;16796
24/3/2020;22304;1100;3281;240;2448;17923
25/3/2020;25233;1331;3900;231;2929;20002
26/3/2020;29155;1596;4948;265;3922;22611
27/3/2020;32964;1995;5700;399;3809;25269
28/3/2020;37575;2314;6624;319;4611;28637
29/3/2020;40174;2606;7202;292;2599;30366
30/3/2020;44550;3024;7927;418;4376;33599
31/3/2020;52128;3523;9444;499;7578;39161
1/4/2020;56989;4032;10934;509;4861;42023
2/4/2020;59105;5387;12428;1355;2116;41290
3/4/2020;64338;6507;14008;1120;5233;43823
4/4/2020;68605;7560;15438;1053;4267;45607
5/4/2020;70478;8078;16183;518;1873;46217
6/4/2020;74390;8911;17250;833;3912;48229
7/4/2020;78167;10328;19337;1417;3777;48502
8/4/2020;82048;10869;21254;541;3881;49925
9/4/2020;86334;12210;23206;1341;4286;50918
10/4/2020;90676;13197;24932;987;4342;52547
11/4/2020;93790;13832;26391;635;3114;53567
12/4/2020;95403;14393;27186;561;1613;53824
13/4/2020;98076;14967;27718;574;2673;55391
14/4/2020;103573;15729;28805;762;5497;59039
15/4/2020;106206;17167;30955;1438;2633;58084
16/4/2020;108847;17920;32812;753;2641;58115
17/4/2020;109252;18681;34420;761;405;56151
18/4/2020;111821;19323;35983;642;2569;56515
19/4/2020;112606;19718;36578;395;785;56310
20/4/2020;114657;20265;37409;547;2051;56983
21/4/2020;117324;20796;39181;531;2667;57347
22/4/2020;119151;21340;40657;544;1827;57154
23/4/2020;120804;21856;42088;516;1653;56860
24/4/2020;122577;22245;43493;389;1773;56839
