Data;Abruzzo;Basilicata;Calabria;Campania;Emilia-Romagna;Friuli;Lazio;Liguria;Lombardia;Marche;Molise;Piemonte;Puglia;Sardegna;Sicilia;Toscana;Trentino Alto Adige;Umbria;Valle D’Aosta;Veneto;ITALIA - media regioni;ITALIA - media settimanale;ITALIA - media giorni feriali;ITALIA - media fine settimana
24/02/20;0;2;5;-4;-6;-6;3;-3;-13;2;5;-10;1;1;0;2;1;3;18;-8;-0,35;;;
25/02/20;-5;-1;1;-10;-7;-6;0;-6;-17;-3;1;-13;-3;-4;-5;0;-5;-1;10;-11;-4,25;;;
26/02/20;-2;3;1;-5;-9;-5;1;-4;-16;-5;0;-11;1;0;-3;1;-5;2;10;-10;-2,80;;;
27/02/20;-4;1;0;-6;-9;-5;0;-4;-17;-5;-1;-9;0;-1;-3;-1;-9;-2;15;-11;-3,55;;;
28/02/20;-1;-2;-2;-8;-8;-4;0;-7;-17;-7;-1;-11;-1;2;-3;-1;-6;2;8;-9;-3,80;;-2,95;
29/02/20;0;0;-1;-2;-10;-7;0;-7;-19;-7;7;-10;2;4;-1;-2;-4;1;0;-10;-3,30;;;-6,30
01/03/20;-4;-1;-3;-4;-20;-20;-11;-13;-24;-12;-14;-8;0;1;1;-14;-14;-10;7;-23;-9,30;-3,91;;
02/03/20;0;4;6;-2;-7;-4;-1;-3;-13;-2;4;-8;3;2;-1;-3;-4;-1;3;-8;-1,75;;;
03/03/20;-29;-23;-12;-11;-44;-26;-18;-23;-38;-27;-24;-22;-11;-32;-18;-27;-35;-25;-13;-38;-24,80;;;
04/03/20;-28;-21;-10;-11;-42;-23;-17;-21;-37;-28;-22;-22;-10;-32;-17;-26;-31;-22;-19;-36;-23,75;;;
05/03/20;-4;-1;-2;-8;-6;-2;-9;0;-13;-5;-2;-8;-5;-2;-6;-5;-6;-6;-4;-6;-5,00;;;
06/03/20;-8;-6;-7;-13;-9;-6;-13;-6;-17;-11;-10;-12;-8;-5;-11;-9;-6;-8;-3;-9;-8,85;;-12,83;
07/03/20;-10;-13;-12;-13;-14;-14;-14;-5;-19;-16;-15;-10;-10;-9;-10;-12;-20;-13;-4;-13;-12,30;;;-14,78
08/03/20;-15;-13;-19;-12;-26;-5;-12;-15;-35;-21;-27;-23;-14;-3;-15;-12;-20;-13;-24;-21;-17,25;-13,39;;
09/03/20;-11;-6;-10;-18;-19;-8;-19;-14;-27;-15;-6;-23;-11;-9;-14;-15;-14;-13;-14;-18;-14,20;;;
10/03/20;-19;-15;-19;-29;-19;-12;-29;-20;-32;-21;-14;-31;-22;-13;-23;-20;-13;-18;-30;-20;-20,95;;;
11/03/20;-24;-21;-30;-39;-23;-13;-35;-27;-36;-24;-18;-35;-28;-19;-30;-25;-23;-21;-35;-23;-26,45;;;
12/03/20;-33;-30;-41;-50;-27;-22;-46;-34;-43;-29;-29;-43;-39;-26;-40;-31;-31;-32;-41;-29;-34,80;;;
13/03/20;-40;-39;-47;-57;-32;-19;-53;-44;-50;-39;-41;-50;-47;-31;-48;-39;-41;-37;-54;-36;-42,20;;-27,72;
14/03/20;-57;-50;-59;-67;-53;-37;-65;-58;-67;-58;-56;-69;-55;-48;-57;-57;-68;-58;-74;-60;-58,65;;;-66,50
15/03/20;-73;-66;-74;-80;-71;-58;-76;-74;-78;-72;-77;-82;-73;-68;-75;-70;-80;-74;-90;-76;-74,35;-38,80;;
16/03/20;-44;-40;-51;-60;-37;-35;-56;-44;-52;-42;-42;-52;-48;-35;-53;-40;-44;-42;-49;-42;-45,40;;;
17/03/20;-45;-44;-54;-61;-40;-38;-57;-48;-55;-44;-44;-55;-52;-37;-56;-42;-45;-44;-50;-47;-47,90;;;
18/03/20;-46;-43;-54;-62;-41;-37;-57;-50;-57;-46;-43;-56;-52;-38;-56;-43;-46;-44;-52;-47;-48,50;;;
19/03/20;-49;-47;-58;-63;-43;-39;-59;-51;-58;-48;-46;-57;-54;-38;-57;-46;-49;-49;-59;-49;-50,95;;;
20/03/20;-51;-49;-59;-65;-44;-38;-61;-55;-59;-51;-53;-60;-55;-40;-59;-48;-51;-49;-68;-51;-53,30;;-49,21;
21/03/20;-63;-61;-68;-72;-60;-50;-71;-68;-72;-65;-65;-74;-63;-57;-66;-63;-68;-68;-78;-66;-65,90;;;-72,73
22/03/20;-77;-77;-83;-85;-73;-65;-81;-80;-82;-77;-81;-85;-80;-74;-86;-73;-83;-78;-92;-79;-79,55;-55,93;;
23/03/20;-52;-52;-59;-66;-48;-42;-60;-54;-62;-52;-52;-62;-57;-42;-59;-49;-51;-50;-65;-52;-54,30;;;
24/03/20;-54;-52;-60;-66;-47;-41;-60;-53;-61;-53;-50;-63;-59;-41;-60;-49;-47;-49;-63;-51;-53,95;;;
25/03/20;-56;-51;-62;-67;-49;-37;-61;-55;-63;-56;-49;-64;-59;-42;-63;-50;-52;-51;-63;-52;-55,10;;;
26/03/20;-59;-59;-65;-69;-56;-48;-64;-56;-67;-60;-49;-67;-62;-46;-62;-55;-57;-56;-66;-60;-59,15;;;
27/03/20;-60;-58;-63;-69;-57;-51;-65;-61;-68;-62;-60;-69;-61;-48;-62;-58;-59;-59;-73;-62;-61,25;;-56,75;
28/03/20;-66;-65;-70;-73;-65;-57;-72;-70;-74;-68;-66;-76;-66;-57;-66;-66;-75;-71;-81;-70;-68,70;;;-74,90
29/03/20;-80;-79;-84;-85;-76;-69;-82;-80;-83;-78;-80;-86;-81;-78;-85;-75;-86;-81;-93;-81;-81,10;-61,94;;
30/03/20;-56;-56;-63;-67;-55;-50;-63;-57;-66;-59;-53;-67;-59;-48;-60;-56;-61;-58;-70;-61;-59,25;;;
31/03/20;-57;-56;-64;-67;-56;-51;-63;-58;-67;-60;-54;-67;-61;-47;-61;-56;-57;-57;-68;-61;-59,40;;;
01/04/20;-57;-52;-63;-66;-56;-50;-62;-58;-67;-60;-49;-67;-60;-48;-61;-56;-60;-56;-70;-61;-58,95;;;
02/04/20;-58;-56;-65;-67;-56;-53;-63;-58;-66;-62;-57;-67;-61;-49;-62;-57;-60;-56;-68;-61;-60,10;;;
03/04/20;-58;-57;-65;-67;-56;-52;-64;-62;-67;-61;-58;-67;-61;-48;-62;-58;-59;-58;-74;-61;-60,75;;-59,69;
4/4/2020;-65;-61;-69;-72;-64;-54;-71;-69;-73;-68;-66;-75;-64;-56;-66;-66;-73;-69;-82;-68;-67,55;;;-73,78
5/4/2020;-80;-78;-84;-84;-75;-65;-81;-79;-82;-77;-81;-85;-80;-77;-85;-74;-83;-80;-91;-79;-80,00;-63,71;;
6/4/2020;-55;-52;-60;-65;-52;-48;-61;-55;-63;-56;-55;-63;-58;-45;-59;-53;-57;-54;-64;-56;-56,55;;;
7/4/2020;-53;-53;-61;-65;-52;-46;-60;-56;-62;-56;-52;-63;-58;-46;-60;-53;-54;-54;-65;-56;-56,25;;;
8/4/2020;-53;-53;-60;-63;-50;-45;-60;-56;-61;-56;-52;-62;-57;-44;-59;-52;-55;-52;-66;-54;-55,50;;;
9/4/2020;-54;-52;-58;-62;-50;-47;-60;-55;-61;-56;-55;-62;-57;-44;-58;-53;-57;-54;-65;-55;-55,75;;;
10/4/2020;-55;-56;-59;-64;-53;-52;-61;-58;-64;-59;-58;-64;-56;-44;-59;-55;-61;-56;-71;-60;-58,25;;-56,46;
11/4/2020;-62;-61;-65;-68;-63;-60;-67;-68;-70;-66;-65;-71;-61;-53;-61;-64;-77;-68;-83;-68;-66,05;;;-76,68
12/4/2020;-88;-84;-89;-91;-85;-80;-89;-84;-89;-86;-90;-89;-87;-81;-88;-84;-89;-91;-93;-89;-87,30;-62,24;;
13/4/2020;-92;-89;-92;-92;-92;-91;-92;-91;-92;-91;-91;-93;-90;-91;-91;-91;-91;-92;-89;-93;-91,30;;;
14/4/2020;-54;-54;-59;-65;-51;-47;-60;-56;-61;-57;-53;-62;-57;-47;-58;-53;-59;-54;-67;-56;-56,50;;;
15/4/2020;-51;-52;-57;-62;-46;-41;-57;-52;-57;-52;-51;-60;-55;-44;-57;-50;-50;-49;-60;-50;-52,65;;;
16/4/2020;-51;-53;-58;-63;-46;-40;-58;-50;-57;-53;-52;-59;-56;-43;-57;-50;-51;-50;-61;-50;-52,90;;;
17/4/2020;-52;-51;-57;-63;-48;-39;-59;-53;-58;-53;-54;-61;-55;-42;-57;-52;-51;-52;-67;-51;-53,75;;-61,42;
18/4/2020;-60;-58;-64;-69;-59;-51;-67;-63;-68;-63;-62;-71;-60;-52;-61;-63;-68;-66;-79;-63;-63,35;;;-71,08
19/4/2020;-79;-75;-82;-83;-72;-65;-80;-78;-81;-75;-80;-84;-78;-76;-84;-73;-83;-78;-92;-78;-78,80;-64,18;;
20/4/2020;-48;-48;-54;-61;-45;-39;-58;-49;-55;-51;-51;-59;-53;-40;-54;-48;-49;-49;-65;-48;-51,20;;;
21/4/2020;-49;-47;-55;-61;-46;-38;-57;-50;-55;-51;-48;-59;-54;-42;-55;-49;-43;-51;-58;-47;-50,75;;;
22/4/2020;-49;-49;-55;-61;-45;-38;-56;-48;-54;-50;-50;-57;-54;-42;-54;-48;-43;-48;-60;-46;-50,35;;;
23/4/2020;-48;-49;-56;-61;-45;-35;-57;-47;-54;-50;-53;-57;-54;-41;-54;-48;-46;-48;-58;-45;-50,30;;;
24/4/2020;-49;-48;-52;-60;-46;-36;-57;-51;-55;-50;-52;-57;-49;-39;-51;-49;-46;-45;-65;-47;-50,20;;-50,56;
25/4/2020;-82;-78;-82;-78;-78;-70;-83;-73;-79;-81;-81;-85;-82;-73;-83;-79;-75;-80;-81;-79;-79,10;;;-77,50
